Designator,Mid X,Mid Y,Rotation,Layer
R23,130.75,-122.26,90.0,top
R24,136.241666,-134.995,270.0,top
R25,134.241666,-134.995,270.0,top
R26,131.75,-119.75,270.0,top
R27,130.75,-119.75,270.0,top
R28,126.75,-130.25,270.0,top
R29,125.5,-122.26,90.0,top
R3,138.5,-123.75,0.0,top
R30,131.523333,-134.99,270.0,top
R31,129.52,-134.99,270.0,top
R32,127.75,-130.25,90.0,top
R33,125.5,-119.75,270.0,top
R34,124.5,-122.25,90.0,top
R35,123.5,-122.25,90.0,top
R36,127.516667,-135.0,270.0,top
R37,125.513333,-135.0,270.0,top
R38,124.5,-119.75,270.0,top
R39,123.5,-119.75,270.0,top
R4,138.0,-130.25,270.0,top
R40,122.5,-122.25,90.0,top
R41,121.5,-122.25,90.0,top
R42,123.51,-135.0,270.0,top
R43,121.506667,-135.0,270.0,top
R44,122.5,-119.75,270.0,top
R45,121.5,-119.75,270.0,top
R46,120.5,-122.25,90.0,top
R47,119.5,-122.25,90.0,top
R48,119.503333,-134.99,270.0,top
R49,117.5,-134.99,270.0,top
R5,136.75,-122.24,90.0,top
R50,120.5,-119.75,270.0,top
R51,119.5,-119.75,270.0,top
R52,115.5,-130.24,270.0,top
R53,114.25,-122.24,90.0,top
R54,115.75,-134.99,270.0,top
R55,113.75,-134.99,270.0,top
R56,116.5,-130.25,90.0,top
R57,114.25,-119.75,270.0,top
R58,113.25,-122.24,90.0,top
R59,112.25,-122.23,90.0,top
R6,148.241666,-134.995,270.0,top
R60,111.75,-134.99,270.0,top
R61,109.75,-134.99,270.0,top
R62,113.25,-119.75,270.0,top
R63,112.25,-119.75,270.0,top
R64,111.25,-122.24,90.0,top
R65,110.25,-122.24,90.0,top
R66,107.75,-134.99,270.0,top
R67,105.75,-134.99,270.0,top
R68,111.25,-119.75,270.0,top
R69,110.25,-119.75,270.0,top
R7,146.241666,-134.995,270.0,top
R70,109.25,-122.24,90.0,top
R71,108.25,-122.24,90.0,top
R72,103.74,-134.99,270.0,top
R73,101.74,-134.99,270.0,top
R74,109.25,-119.75,270.0,top
R75,108.25,-119.75,270.0,top
R76,141.5,-103.5,270.0,top
R8,139.0,-130.25,90.0,top
R9,136.75,-119.75,270.0,top
U1,107.54,-116.5,0.0,top
U10,130.5,-148.55,180.0,top
U11,126.905,-140.725,180.0,top
U12,123.5,-148.5,180.0,top
U13,119.75,-140.75,180.0,top
U14,116.655,-148.525,180.0,top
U15,112.75,-140.75,180.0,top
U16,109.655,-148.525,180.0,top
U17,105.655,-140.725,180.0,top
U2,141.85,-124.8,0.0,top
U3,133.7975,-127.3875,180.0,top
U4,122.525,-127.3875,180.0,top
U5,111.2525,-127.3875,180.0,top
U6,144.75,-148.5,180.0,top
U7,141.25,-140.7,180.0,top
U8,137.5,-148.5,180.0,top
U9,134.0,-140.7,180.0,top
